B04,B03,B02,B8A,label
0.1124,0.1419,0.1115,0.0692,1
0.0774,0.1068,0.0777,0.0345,1
0.083,0.1107,0.082,0.057,1
0.1011,0.1281,0.0992,0.0595,1
0.1093,0.133,0.1052,0.0708,1
0.0986,0.1271,0.0974,0.0544,1
0.2015,0.146,0.1067,0.3002,3
0.1967,0.1419,0.1048,0.2905,3
0.2007,0.1461,0.1086,0.2966,3
0.2071,0.1506,0.112,0.3027,3
0.2094,0.1506,0.1121,0.3032,3
0.1998,0.1447,0.1068,0.3022,3
0.2017,0.1472,0.1091,0.3072,3
0.19,0.139,0.1028,0.297,3
0.2088,0.1439,0.1011,0.3352,3
0.2275,0.1527,0.1042,0.3623,3
0.1749,0.1306,0.0936,0.3067,3
0.2097,0.1516,0.1114,0.3124,3
0.201,0.1455,0.1073,0.2976,3
0.1977,0.144,0.1063,0.2935,3
0.2036,0.1494,0.1108,0.3016,3
0.2002,0.1474,0.1095,0.3008,3
0.2081,0.1509,0.1117,0.3057,3
0.2001,0.1448,0.108,0.3064,3
0.2027,0.1468,0.1089,0.3117,3
0.2108,0.148,0.1067,0.3275,3
0.212,0.1417,0.0975,0.3406,3
0.2136,0.1413,0.0962,0.3432,3
0.169,0.1262,0.0906,0.2911,3
0.18,0.1313,0.0956,0.2907,3
0.1763,0.1308,0.0933,0.3096,3
0.2104,0.1518,0.1111,0.3187,3
0.2085,0.1495,0.1101,0.3087,3
0.2027,0.146,0.1078,0.2969,3
0.2034,0.1478,0.1099,0.2997,3
0.2043,0.1487,0.1103,0.304,3
0.2108,0.1519,0.1128,0.3052,3
0.2042,0.1473,0.1093,0.3068,3
0.1969,0.1423,0.1036,0.3168,3
0.2166,0.147,0.1024,0.3435,3
0.2179,0.1439,0.0965,0.3534,3
0.2113,0.1403,0.0944,0.341,3
0.1672,0.1243,0.089,0.28,3
0.1794,0.1292,0.0932,0.2897,3
0.1893,0.1358,0.0991,0.2938,3
0.1785,0.13,0.0938,0.2895,3
0.1733,0.1287,0.0911,0.3041,3
0.203,0.1467,0.1069,0.3141,3
0.2119,0.1528,0.1126,0.3125,3
0.2041,0.1464,0.108,0.2978,3
0.2015,0.1455,0.1084,0.2952,3
0.2116,0.1534,0.1143,0.3067,3
0.2122,0.1528,0.1139,0.3075,3
0.2076,0.1492,0.1108,0.3076,3
0.2075,0.1479,0.1081,0.3222,3
0.223,0.1532,0.1085,0.3507,3
0.2074,0.1445,0.1032,0.332,3
0.1968,0.141,0.1,0.323,3
0.2003,0.1456,0.1045,0.3115,3
0.1743,0.1283,0.0921,0.2841,3
0.174,0.1275,0.0921,0.2835,3
0.1796,0.1303,0.0944,0.2838,3
0.165,0.1253,0.0893,0.296,3
0.1763,0.13,0.0939,0.2978,3
0.1899,0.1401,0.1008,0.3131,3
0.2074,0.1496,0.1099,0.3084,3
0.2067,0.1481,0.1094,0.3007,3
0.2005,0.1441,0.1074,0.2932,3
0.2089,0.1505,0.1124,0.3041,3
0.2088,0.1522,0.113,0.3062,3
0.2115,0.153,0.1137,0.3049,3
0.2078,0.1507,0.11,0.324,3
0.209,0.1507,0.1094,0.331,3
0.2081,0.148,0.1046,0.3466,3
0.213,0.1517,0.1083,0.3255,3
0.2025,0.1467,0.1056,0.3113,3
0.158,0.1222,0.0862,0.2958,3
0.1634,0.1253,0.0889,0.3003,3
0.1786,0.1314,0.0948,0.2952,3
0.1839,0.1368,0.0984,0.3106,3
0.2103,0.1509,0.1115,0.3119,3
0.2098,0.15,0.1105,0.3034,3
0.2001,0.1431,0.1058,0.2924,3
0.2063,0.1486,0.1104,0.299,3
0.2141,0.1545,0.1151,0.3093,3
0.204,0.1481,0.1087,0.2992,3
0.208,0.1506,0.108,0.3346,3
0.2383,0.1624,0.114,0.3768,3
0.2381,0.1628,0.1146,0.3748,3
0.2131,0.1514,0.1069,0.3254,3
0.2091,0.1489,0.106,0.3223,3
0.2069,0.1476,0.1063,0.316,3
0.1626,0.1248,0.0873,0.3069,3
0.1835,0.1357,0.0978,0.3135,3
0.2076,0.1503,0.1107,0.3072,3
0.2071,0.1489,0.1098,0.3022,3
0.2033,0.1462,0.1077,0.3012,3
0.1954,0.1411,0.1041,0.2891,3
0.1991,0.1464,0.1075,0.3028,3
0.2138,0.1547,0.1096,0.3594,3
0.2469,0.1662,0.1161,0.3808,3
0.2459,0.1662,0.1162,0.3773,3
0.2417,0.1637,0.1146,0.3726,3
0.2051,0.1447,0.1027,0.3242,3
0.2017,0.1412,0.0997,0.3166,3
0.2019,0.1454,0.104,0.31,3
0.1951,0.1427,0.1047,0.3093,3
0.1952,0.1429,0.1037,0.3047,3
0.1941,0.1417,0.1031,0.3017,3
0.1894,0.1399,0.1011,0.312,3
0.2314,0.1616,0.1133,0.3709,3
0.2509,0.169,0.1168,0.3856,3
0.2481,0.1666,0.1165,0.3795,3
0.2494,0.1681,0.1171,0.381,3
0.245,0.1658,0.1157,0.3777,3
0.2112,0.1475,0.1031,0.3383,3
0.2007,0.1401,0.0992,0.3133,3
0.2035,0.1472,0.1061,0.3115,3
0.2058,0.148,0.107,0.3127,3
0.1713,0.1303,0.0924,0.3032,3
0.2009,0.1473,0.1057,0.3318,3
0.2439,0.167,0.1172,0.3857,3
0.2502,0.1673,0.1164,0.3862,3
0.2468,0.1663,0.1162,0.3791,3
0.2475,0.1666,0.1154,0.3815,3
0.2459,0.1643,0.1131,0.3782,3
0.2439,0.1645,0.1133,0.3761,3
0.2186,0.1513,0.1059,0.3503,3
0.2018,0.1444,0.1024,0.3125,3
