band,y,x,spatial_ref,y,x,class,reflectance
B04,4868010.0,360750.0,0,4868010.0,360750.0,2,0.0475
B04,4868010.0,360810.0,0,4868010.0,360810.0,2,0.0472
B04,4868010.0,360870.0,0,4868010.0,360870.0,2,0.0533
B04,4868010.0,360930.0,0,4868010.0,360930.0,2,0.0506
B04,4868010.0,360990.0,0,4868010.0,360990.0,2,0.0498
B04,4868010.0,361050.0,0,4868010.0,361050.0,2,0.0475
B04,4868010.0,361110.0,0,4868010.0,361110.0,2,0.0395
B04,4868010.0,361170.0,0,4868010.0,361170.0,2,0.0393
B04,4867950.0,360510.0,0,4867950.0,360510.0,2,0.0455
B04,4867950.0,360570.0,0,4867950.0,360570.0,2,0.0462
B04,4867950.0,360630.0,0,4867950.0,360630.0,2,0.0413
B04,4867950.0,360690.0,0,4867950.0,360690.0,2,0.0445
B04,4867950.0,360750.0,0,4867950.0,360750.0,2,0.051
B04,4867950.0,360810.0,0,4867950.0,360810.0,2,0.0509
B04,4867950.0,360870.0,0,4867950.0,360870.0,2,0.0459
B04,4867950.0,360930.0,0,4867950.0,360930.0,2,0.0573
B04,4867950.0,360990.0,0,4867950.0,360990.0,2,0.0524
B04,4867950.0,361050.0,0,4867950.0,361050.0,2,0.0465
B04,4867950.0,361110.0,0,4867950.0,361110.0,2,0.0493
B04,4867950.0,361170.0,0,4867950.0,361170.0,2,0.0511
B04,4867890.0,360450.0,0,4867890.0,360450.0,2,0.0498
B04,4867890.0,360510.0,0,4867890.0,360510.0,2,0.0505
B04,4867890.0,360570.0,0,4867890.0,360570.0,2,0.0505
B04,4867890.0,360630.0,0,4867890.0,360630.0,2,0.0435
B04,4867890.0,360690.0,0,4867890.0,360690.0,2,0.0446
B04,4867890.0,360750.0,0,4867890.0,360750.0,2,0.0389
B04,4867890.0,360810.0,0,4867890.0,360810.0,2,0.046
B04,4867890.0,360870.0,0,4867890.0,360870.0,2,0.0505
B04,4867890.0,360930.0,0,4867890.0,360930.0,2,0.0543
B04,4867890.0,360990.0,0,4867890.0,360990.0,2,0.0503
B04,4867890.0,361050.0,0,4867890.0,361050.0,2,0.0504
B04,4867890.0,361110.0,0,4867890.0,361110.0,2,0.0479
B04,4867890.0,361170.0,0,4867890.0,361170.0,2,0.0492
B04,4867890.0,361230.0,0,4867890.0,361230.0,2,0.0504
B04,4867830.0,360450.0,0,4867830.0,360450.0,2,0.0481
B04,4867830.0,360510.0,0,4867830.0,360510.0,2,0.0494
B04,4867830.0,360570.0,0,4867830.0,360570.0,2,0.05
B04,4867830.0,360630.0,0,4867830.0,360630.0,2,0.0422
B04,4867830.0,360690.0,0,4867830.0,360690.0,2,0.0434
B04,4867830.0,360750.0,0,4867830.0,360750.0,2,0.0435
B04,4867830.0,360810.0,0,4867830.0,360810.0,2,0.0455
B04,4867830.0,360870.0,0,4867830.0,360870.0,2,0.0425
B04,4867830.0,360930.0,0,4867830.0,360930.0,2,0.0474
B04,4867830.0,360990.0,0,4867830.0,360990.0,2,0.0526
B04,4867830.0,361050.0,0,4867830.0,361050.0,2,0.052
B04,4867830.0,361110.0,0,4867830.0,361110.0,2,0.0533
B04,4867830.0,361170.0,0,4867830.0,361170.0,2,0.0453
B04,4867830.0,361230.0,0,4867830.0,361230.0,2,0.0431
B04,4867770.0,360390.0,0,4867770.0,360390.0,2,0.058
B04,4867770.0,360450.0,0,4867770.0,360450.0,2,0.0512
B04,4867770.0,360510.0,0,4867770.0,360510.0,2,0.0491
B04,4867770.0,360570.0,0,4867770.0,360570.0,2,0.0494
B04,4867770.0,360630.0,0,4867770.0,360630.0,2,0.0457
B04,4867770.0,360690.0,0,4867770.0,360690.0,2,0.0429
B04,4867770.0,360750.0,0,4867770.0,360750.0,2,0.0454
B04,4867770.0,360810.0,0,4867770.0,360810.0,2,0.0441
B04,4867770.0,360870.0,0,4867770.0,360870.0,2,0.0462
B04,4867770.0,360930.0,0,4867770.0,360930.0,2,0.0432
B04,4867770.0,360990.0,0,4867770.0,360990.0,2,0.0481
B04,4867770.0,361050.0,0,4867770.0,361050.0,2,0.0513
B04,4867770.0,361110.0,0,4867770.0,361110.0,2,0.0502
B04,4867770.0,361170.0,0,4867770.0,361170.0,2,0.0456
B04,4867770.0,361230.0,0,4867770.0,361230.0,2,0.0413
B04,4867770.0,361290.0,0,4867770.0,361290.0,2,0.0426
B04,4867710.0,360330.0,0,4867710.0,360330.0,2,0.0615
